722d5eb5c4c2ebb61628abe8d018e3a0e7bc2a6d,ACCUMULO-4662,ACCUMULO-4662 Fix ambiguous table reference
f630f6a62e69f82b9782c1d429c0a8bbe598ad36,ACCUMULO-4660,ACCUMULO-4660 Remove * import (addendum)
6f187823e4309ed79d6fa3f24b049731126f5263,ACCUMULO-4660,ACCUMULO-4660 sanitize incoming values from HTTP parameters
606cacee016af1927e299163ae508d3c4662efac,ACCUMULO-4651,ACCUMULO-4651 Fix PermissionsIT
f110b584ccb22e391e4ab044a71cc42b69ae6945,ACCUMULO-4605,ACCUMULO-4605 Remove hard-coded commands from Main
94bb593ba1dcf545cfc2cf39f8ef8b360b064dd2,ACCUMULO-4619,ACCUMULO-4619 Fix addSplits exception regression
15b9c3eec1160ea3a121f157532151df0d2135f2,ACCUMULO-4652,ACCUMULO-4652 Fix SLF4J error in build
de83e61c7f965b6f83482c6070b483bd1835b5a6,ACCUMULO-4640,ACCUMULO-4640 Fix broken SiteConfigurationTest
e4a381de90e1bb06ea49ce189166272ceac87f54,ACCUMULO-4649,ACCUMULO-4649 Fix AuditMessageIT
4effd0e9a757b513e62a3c8dd9637922e2d9742e,ACCUMULO-4640,ACCUMULO-4640 Fix SiteConfiguration parent
54c82dc90b028d829d0dd8fce7b7deaef7becee8,ACCUMULO-4634,ACCUMULO-4634 : Appropriately implement the mocked out methods of MockIteratorEnvironment per the interface specifications.
5f6882fc28bfea9cd48afef174dcf957eefde210,ACCUMULO-4506,[ACCUMULO-4506] Add a timeout to a replication RPC call
771475ad5c7f76c01dff9bdea78c1931688433d1,ACCUMULO-4633,ACCUMULO-4633: Added check to prevent division by zero
6e9f1f728eaf369e2d2ac696f7bfe6d465407f1b,ACCUMULO-4365,ACCUMULO-4365: Configured ConditionalWriterIT tracer span min to 0
b4ed93854aa28a1152f80a5f38e5efec247f2d9a,ACCUMULO-4365,ACCUMULO-4365: Configured ConditionalWriterIT tracer span min to 0
1061fb55315fd0184ef79d9e31c3aa9b0aad7fd2,ACCUMULO-4365,ACCUMULO-4365: Configured ShellServerIT tracer span min to 0
ce4017884231d5111baf9856038ad42a4ff2ed4c,ACCUMULO-4631,ACCUMULO-4631: Moved junit unusedDeclaredDependency to maven-plugin pom
58076bf5213c93b9aad686ab4784106d443e6544,ACCUMULO-4631,ACCUMULO-4631: Added Junit dep to maven-plugin and unusedDeclaredDependency
6b2e430dc0a00039be63a9eceb49cdc75a866ef3,ACCUMULO-4576,ACCUMULO-4576 Suppress warnings from deprecations
8c0f03ac2d8e06b220e2882d54914f2034625e15,ACCUMULO-4619,ACCUMULO-4619 fix split hanging on Error
6e3421708a990c055c137033707ca11a0ceefaa6,ACCUMULO-4616,ACCUMULO-4616 Removed unused variable in accumulo-service
4ba5faf49d723dabde6916bed956a0459dccf5ac,ACCUMULO-4482,ACCUMULO-4482 Mention snappy compression in docs
b4f86d978c3abb7a1f9e448f49c1598afe0d8cf9,ACCUMULO-4613,ACCUMULO-4613 Verify directories in accumulo-env.sh
f02b731a2b948266001cddb0c2ad5f1f5d25152f,ACCUMULO-2806,ACCUMULO-2806: changed permissions of /accumulo to 700
